title,keyword
"Avatar","culture clash"
"Avatar","future"
"Avatar","space war"
"Avatar","space colony"
"Avatar","society"
"Avatar","space travel"
"Avatar","futuristic"
"Avatar","romance"
"Avatar","space"
"Avatar","alien"
"Avatar","tribe"
"Avatar","alien planet"
"Avatar","cgi"
"Avatar","marine"
"Avatar","soldier"
"Avatar","battle"
"Avatar","love affair"
"Avatar","anti war"
"Avatar","power relations"
"Avatar","mind and soul"
"Avatar","3d"
"Spectre","spy"
"Spectre","based on novel"
"Spectre","secret agent"
"Spectre","sequel"
"Spectre","mi6"
"Spectre","british secret service"
"Spectre","united kingdom"
"The Dark Knight Rises","dc comics"
"The Dark Knight Rises","crime fighter"
"The Dark Knight Rises","terrorist"
"The Dark Knight Rises","secret identity"
"The Dark Knight Rises","burglar"
"The Dark Knight Rises","hostage drama"
"The Dark Knight Rises","time bomb"
"The Dark Knight Rises","gotham city"
"The Dark Knight Rises","vigilante"
"The Dark Knight Rises","cover-up"
"The Dark Knight Rises","superhero"
"The Dark Knight Rises","villainess"
"The Dark Knight Rises","tragic hero"
"The Dark Knight Rises","terrorism"
"The Dark Knight Rises","destruction"
"The Dark Knight Rises","catwoman"
"The Dark Knight Rises","cat burglar"
"The Dark Knight Rises","imax"
"The Dark Knight Rises","flood"
"The Dark Knight Rises","criminal underworld"
"The Dark Knight Rises","batman"
"John Carter","based on novel"
"John Carter","mars"
"John Carter","medallion"
"John Carter","space travel"
"John Carter","princess"
"John Carter","alien"
"John Carter","steampunk"
"John Carter","martian"
"John Carter","escape"
"John Carter","edgar rice burroughs"
"John Carter","alien race"
"John Carter","superhuman strength"
"John Carter","mars civilization"
"John Carter","sword and planet"
"John Carter","19th century"
"John Carter","3d"
"Spider-Man 3","dual identity"
"Spider-Man 3","amnesia"
"Spider-Man 3","sandstorm"
"Spider-Man 3","love of one's life"
"Spider-Man 3","forgiveness"
"Spider-Man 3","spider"
"Spider-Man 3","wretch"
"Spider-Man 3","death of a friend"
"Spider-Man 3","egomania"
"Spider-Man 3","sand"
"Spider-Man 3","narcism"
"Spider-Man 3","hostility"
"Spider-Man 3","marvel comic"
"Spider-Man 3","sequel"
"Spider-Man 3","superhero"
"Spider-Man 3","revenge"
"Tangled","hostage"
"Tangled","magic"
"Tangled","horse"
"Tangled","fairy tale"
"Tangled","musical"
"Tangled","princess"
"Tangled","animation"
"Tangled","tower"
"Tangled","blonde woman"
"Tangled","selfishness"
"Tangled","healing power"
"Tangled","based on fairy tale"
"Tangled","duringcreditsstinger"
"Tangled","healing gift"
"Tangled","animal sidekick"
"Harry Potter and the Half-Blood Prince","witch"
"Harry Potter and the Half-Blood Prince","magic"
"Harry Potter and the Half-Blood Prince","broom"
"Harry Potter and the Half-Blood Prince","school of witchcraft"
"Harry Potter and the Half-Blood Prince","wizardry"
"Harry Potter and the Half-Blood Prince","apparition"
"Harry Potter and the Half-Blood Prince","teenage crush"
"Harry Potter and the Half-Blood Prince","werewolf"
"Superman Returns","saving the world"
"Superman Returns","dc comics"
"Superman Returns","invulnerability"
"Superman Returns","sequel"
"Superman Returns","superhero"
"Superman Returns","based on comic book"
"Superman Returns","kryptonite"
"Superman Returns","super powers"
"Superman Returns","superhuman strength"
"Superman Returns","lex luthor"
"Quantum of Solace","killing"
"Quantum of Solace","undercover"
"Quantum of Solace","secret agent"
"Quantum of Solace","british secret service"
"The Lone Ranger","texas"
"The Lone Ranger","horse"
"The Lone Ranger","survivor"
"The Lone Ranger","texas ranger"
"The Lone Ranger","partner"
"The Lone Ranger","outlaw"
"The Lone Ranger","escape"
"The Lone Ranger","lawyer"
"The Lone Ranger","train"
"The Lone Ranger","lone ranger"
"The Lone Ranger","comanche"
"The Lone Ranger","the lone ranger"
"The Lone Ranger","tonto"
"Man of Steel","saving the world"
"Man of Steel","dc comics"
"Man of Steel","superhero"
"Man of Steel","based on comic book"
"Man of Steel","superhuman"
"Man of Steel","alien invasion"
"Man of Steel","reboot"
"Man of Steel","super powers"
"Man of Steel","dc extended universe"
"The Avengers","new york"
"The Avengers","shield"
"The Avengers","marvel comic"
"The Avengers","superhero"
"The Avengers","based on comic book"
"The Avengers","alien invasion"
"The Avengers","superhero team"
"The Avengers","aftercreditsstinger"
"The Avengers","duringcreditsstinger"
"The Avengers","marvel cinematic universe"
"Men in Black 3","time travel"
"Men in Black 3","time machine"
"Men in Black 3","alien"
"Men in Black 3","fictional government agency"
"Men in Black 3","seeing the future"
"Men in Black 3","changing history"
"The Amazing Spider-Man","loss of father"
"The Amazing Spider-Man","vigilante"
"The Amazing Spider-Man","serum"
"The Amazing Spider-Man","marvel comic"
"The Amazing Spider-Man","scientific experiment"
"The Amazing Spider-Man","spider bite"
"The Amazing Spider-Man","masked vigilante"
"The Amazing Spider-Man","reboot"
"The Amazing Spider-Man","super powers"
"The Amazing Spider-Man","genetic engineering"
"The Amazing Spider-Man","social outcast"
"The Amazing Spider-Man","duringcreditsstinger"
"Robin Hood","robin hood"
"Robin Hood","archer"
"Robin Hood","knight"
"Robin Hood","sherwood forest"
"Robin Hood","bow and arrow"
"Robin Hood","middle ages"
"Robin Hood","medieval"
"Robin Hood","king of england"
"The Golden Compass","england"
"The Golden Compass","compass"
"The Golden Compass","experiment"
"The Golden Compass","lordship"
"The Golden Compass","uncle"
"The Golden Compass","polar bear"
